eta,max_depth,gamma,colsample_bytree,min_child_weight,subsample,nrounds,Accuracy,Kappa,AccuracySD,KappaSD
1,2,0,1,1,1,200,0.7881709839456318,0.5513841457337336,0.03787131016962708,0.07444033225647
0.2,3,0,0.6,1,1,200,0.7966512360878558,0.5651713280356778,0.027809388412950903,0.056887309187733694
0.2,3,0,0.7,1,1,200,0.8064217472668177,0.5868055634272118,0.024352032205622126,0.049768305310742375
0.2,3,0,0.8,1,1,200,0.8008273416724121,0.574815361429945,0.018415719271838046,0.03745620499767473
0.2,3,0,0.9,1,1,200,0.8022751895991332,0.5775590291573848,0.029201447148087634,0.061580557004721564
0.2,3,0,1,1,1,200,0.8120752486949671,0.5976295005366814,0.025754380493017804,0.054727318207468005
0.4,3,0,0.6,1,1,200,0.8064512951836895,0.5887574995111321,0.040045973417450476,0.0827065079073656
0.4,3,0,0.7,1,1,200,0.8050526937850881,0.585270451799321,0.030203735195765524,0.06360053656759126
0.4,3,0,0.8,1,1,200,0.7937949374569093,0.56256005346942894,0.03577431321219975,0.07465963517428831
0.4,3,0,0.9,1,1,200,0.7910272825765784,0.5562105266378826,0.022823776179564215,0.04542332774086771
0.4,3,0,1,1,1,200,0.792386486752684,0.5596148571241714,0.03751564827978011,0.07573325621035613
0.6000000000000001,3,0,0.6,1,1,200,0.7896089825667291,0.553823396372111,0.04234403091195691,0.0902936070789931
0.6000000000000001,3,0,0.7,1,1,200,0.7839062346104599,0.5444251047865085,0.053619542020982035,0.10416078259350679
0.6000000000000001,3,0,0.8,1,1,200,0.7853540825371811,0.5468062354906148,0.03775185012000013,0.07078239213698141
0.6000000000000001,3,0,0.9,1,1,200,0.7923963360583078,0.5592307802822785,0.03773628450358187,0.07971575535213064
0.6000000000000001,3,0,1,1,1,200,0.7881709839456319,0.551280161550055,0.02825788784585498,0.05151009744106082
0.8,3,0,0.6,1,1,200,0.7909878853540825,0.5586190236856702,0.023306524925576326,0.04350705971096924
0.8,3,0,0.7,1,1,200,0.7797202797202797,0.5354554150167101,0.03825777005106401,0.07593329623526525
0.8,3,0,0.8,1,1,200,0.7811188811188812,0.539617334462424,0.03341890588806631,0.06303530859978432
0.8,3,0,0.9,1,1,200,0.7741160248202502,0.5250435208577868,0.03624195511724106,0.06337168360402504
0.8,3,0,1,1,1,200,0.7811188811188812,0.5394237627646264,0.04159535634374615,0.08212651607602432
1,3,0,0.6,1,1,200,0.774145572737122,0.5232320565030353,0.02503914527407263,0.04431953093328693
1,3,0,0.7,1,1,200,0.7825174825174825,0.5442692339108088,0.035472072856012525,0.06468433054286726
1,3,0,0.8,1,1,200,0.7769329262287009,0.5321561964669428,0.03097517754486662,0.05784632857892907
1,3,0,0.9,1,1,200,0.7839259332217079,0.5455291693995031,0.04306813157994916,0.07994468094653942
1,3,0,1,1,1,200,0.7881611346400079,0.5525537477987881,0.026969783678185696,0.05775106394741209
0.2,4,0,0.6,1,1,200,0.8078104993597951,0.5903653198277631,0.040349943793794814,0.08272127625190602
0.2,4,0,0.7,1,1,200,0.8008371909780361,0.5770377979356268,0.029954287259306368,0.06271556506982834
0.2,4,0,0.8,1,1,200,0.8022259430710135,0.5797956100643932,0.0323368618736589,0.06332095358489803
0.2,4,0,0.9,1,1,200,0.7965724416428641,0.5684896780397685,0.04120510891970867,0.08246834821991918
0.2,4,0,1,1,1,200,0.79661183886536,0.567359138361096,0.023973804724349755,0.04802323974487732
0.4,4,0,0.6,1,1,200,0.7909977346597065,0.5575971450786755,0.03245529284413978,0.06817768119151026
0.4,4,0,0.7,1,1,200,0.7937752388456614,0.5626685319439246,0.025179442095153638,0.049017319450028594
0.4,4,0,0.8,1,1,200,0.7881709839456318,0.5529661711271634,0.026405453842767802,0.05341297802031878
0.4,4,0,0.9,1,1,200,0.7769230769230769,0.5302080198568859,0.03615480741902113,0.07125077977743424
0.4,4,0,1,1,1,200,0.7881709839456319,0.5536196745821182,0.030744343641093592,0.06145109638453176
0.6000000000000001,4,0,0.6,1,1,200,0.7867231360189106,0.5489748655638526,0.046716586616673404,0.09379911888304654
0.6000000000000001,4,0,0.7,1,1,200,0.7769427755343249,0.5328414306317475,0.04200898581169139,0.08182521616347166
0.6000000000000001,4,0,0.8,1,1,200,0.7797399783315276,0.5336080243811364,0.03511435620450627,0.06959722757889719
0.6000000000000001,4,0,0.9,1,1,200,0.7825470304343544,0.5407874969927778,0.03450649088760182,0.06896556011283417
0.6000000000000001,4,0,1,1,1,200,0.7839653304442037,0.5442585886344489,0.0295371093863354,0.05513613101336335
0.8,4,0,0.6,1,1,200,0.7839456318329557,0.5436827853131109,0.025705046075165747,0.051932288312873144
0.8,4,0,0.7,1,1,200,0.7783413769329262,0.5323215517711928,0.032475312959291715,0.06310300101713377
0.8,4,0,0.8,1,1,200,0.7825470304343544,0.5441991411345892,0.03661304001474038,0.06916915898235365
0.8,4,0,0.9,1,1,200,0.7853343839259332,0.54825904249394,0.03856207554044001,0.0735611501749597
0.8,4,0,1,1,1,200,0.7727174234216487,0.5216576871447964,0.03759912596773048,0.06866168908170059
1,4,0,0.6,1,1,200,0.7797202797202797,0.54057209146038665,0.0330880235839725,0.061241677190360666
1,4,0,0.7,1,1,200,0.7755146262188516,0.5285346670957214,0.041161696465681435,0.07953347479915819
1,4,0,0.8,1,1,200,0.7755244755244756,0.5288936189645985,0.03241039692420043,0.061118045005593216
1,4,0,0.9,1,1,200,0.7755441741357234,0.5284397837070031,0.03061729171562966,0.05743582810210288
1,4,0,1,1,1,200,0.7769526248399488,0.5285136888150921,0.029550756618523043,0.06112486533372621
0.2,5,0,0.6,1,1,200,0.7993991923569388,0.57416770134373,0.03813455392884347,0.07990180249043437
0.2,5,0,0.7,1,1,200,0.7994287402738107,0.574412719181711,0.026073011452929985,0.05329594430328874
0.2,5,0,0.8,1,1,200,0.796621688170984,0.5683293825155225,0.036760024650482365,0.07314213049142677
0.2,5,0,0.9,1,1,200,0.792366788141436,0.5595093628723375,0.04199649674109509,0.08574989452318493
0.2,5,0,1,1,1,200,0.7951836895498867,0.5651411253190167,0.02645496722055264,0.0542553485917812
0.4,5,0,0.6,1,1,200,0.7783413769329263,0.5340091150700081,0.028067021714733596,0.052999534022432196
0.4,5,0,0.7,1,1,200,0.7923963360583078,0.563316519327622,0.027217264531524885,0.05490619699290445
0.4,5,0,0.8,1,1,200,0.7797301290259037,0.5353011982920286,0.03448525536592206,0.06922202250817558
0.4,5,0,0.9,1,1,200,0.7783216783216783,0.5327527571622035,0.029922921555776853,0.05833154591587818
