hidden_units,epochs,.metric,.estimator,mean,n,std_err
8,19,roc_auc,binary,0.98097283853548,5,0.002304248958584899
8,20,roc_auc,binary,0.9805669627492546,5,0.0020813446583393155
9,10,roc_auc,binary,0.9810741401381599,5,0.002295760908501165
9,11,roc_auc,binary,0.9812171500363869,5,0.00278244952034158
9,12,roc_auc,binary,0.9808802587424694,5,0.0021676746572055713
9,13,roc_auc,binary,0.9804713712869751,5,0.0021511221109948363
9,14,roc_auc,binary,0.9816997709662031,5,0.002737708510564982
9,15,roc_auc,binary,0.9804986190787766,5,0.0023960592848717333
9,16,roc_auc,binary,0.9802142796364317,5,0.002640653725629217
9,17,roc_auc,binary,0.9805965529835355,5,0.0020704983662080487
9,18,roc_auc,binary,0.980616937185386,5,0.0025324900527889005
9,19,roc_auc,binary,0.981007740199712,5,0.0027299791500665785
9,20,roc_auc,binary,0.9804946105590259,5,0.0023581239553264713
10,10,roc_auc,binary,0.9805778348589562,5,0.002646095958145723
10,11,roc_auc,binary,0.9808099072429065,5,0.002361397208786285
10,12,roc_auc,binary,0.9794840079127473,5,0.0018925010484617786
10,13,roc_auc,binary,0.9812515247960601,5,0.002551880082638757
10,14,roc_auc,binary,0.9807438419178534,5,0.002382913244391211
10,15,roc_auc,binary,0.9812714533288257,5,0.00248693369469214
10,16,roc_auc,binary,0.9815412895856271,5,0.0022964110555169603
10,17,roc_auc,binary,0.981048964272498,5,0.0026937611487585526
10,18,roc_auc,binary,0.9809765551236336,5,0.0026460310439917444
10,19,roc_auc,binary,0.9814225086715136,5,0.0023061666955185535
10,20,roc_auc,binary,0.9804028922839686,5,0.00217171903722406
11,10,roc_auc,binary,0.9807321297054555,5,0.002545006556894199
11,11,roc_auc,binary,0.9804883451091074,5,0.002796363393502322
11,12,roc_auc,binary,0.9807661698517341,5,0.0025439566726943117
11,13,roc_auc,binary,0.9809481183389033,5,0.002730798224932788
11,14,roc_auc,binary,0.9809489157598019,5,0.002499251132114679
11,15,roc_auc,binary,0.9807620616915502,5,0.0029341232408636275
11,16,roc_auc,binary,0.9810844853433027,5,0.002367779293610695
11,17,roc_auc,binary,0.9803134666311745,5,0.0019670373502864913
11,18,roc_auc,binary,0.9813090320489318,5,0.002314139991932537
11,19,roc_auc,binary,0.9811471972472734,5,0.002614891904003293
11,20,roc_auc,binary,0.9817919377719262,5,0.0026501207850873746
12,10,roc_auc,binary,0.9801573989285519,5,0.0029404855531488133
12,11,roc_auc,binary,0.979608299686395,5,0.0025304327479222697
12,12,roc_auc,binary,0.9797548552968688,5,0.0024993349745862665
12,13,roc_auc,binary,0.9807822607406558,5,0.0020900871846360504
12,14,roc_auc,binary,0.9811416508443608,5,0.0024933387055420227
12,15,roc_auc,binary,0.9806830808843321,5,0.002692996839247985
12,16,roc_auc,binary,0.9812349070025798,5,0.002774234618711658
12,17,roc_auc,binary,0.98154722756057,5,0.0026472784052574906
12,18,roc_auc,binary,0.9819806216549368,5,0.002548616427338891
12,19,roc_auc,binary,0.9805833598466116,5,0.002296966083512806
12,20,roc_auc,binary,0.9814090307414114,5,0.0022705183129480655
13,10,roc_auc,binary,0.9802452297395486,5,0.0024092779050640546
13,11,roc_auc,binary,0.9807726204543975,5,0.0026705690870828806
13,12,roc_auc,binary,0.9801302721924408,5,0.002546716967162886
13,13,roc_auc,binary,0.9802237561852022,5,0.002666395697235595
13,14,roc_auc,binary,0.9800596857199162,5,0.002609270058924828
13,15,roc_auc,binary,0.980289600814132,5,0.002295199890061048
13,16,roc_auc,binary,0.9813365503570732,5,0.0021646239373935513
13,17,roc_auc,binary,0.9809391401410152,5,0.0019797944069905988
13,18,roc_auc,binary,0.981044742195043,5,0.002391098055343879
13,19,roc_auc,binary,0.9811502160549612,5,0.0025097608499945103
13,20,roc_auc,binary,0.9810259528349898,5,0.0025907979157871385
14,10,roc_auc,binary,0.9804214680863174,5,0.002417389933329676
14,11,roc_auc,binary,0.9805600707543444,5,0.0024741083069103886
14,12,roc_auc,binary,0.9806029964477799,5,0.0021182375381987857
14,13,roc_auc,binary,0.9811791156471957,5,0.002470946365419381
14,14,roc_auc,binary,0.9807559385638625,5,0.002480097421990714
14,15,roc_auc,binary,0.9805651400729147,5,0.0022638310327699846
14,16,roc_auc,binary,0.9810525526665422,5,0.0022603992480850956
14,17,roc_auc,binary,0.9810518763013338,5,0.0024153518700265556
14,18,roc_auc,binary,0.9815963974373837,5,0.002410618298356908
14,19,roc_auc,binary,0.9808597677617668,5,0.002458275909876394
14,20,roc_auc,binary,0.9815738986275961,5,0.002443639554823419
15,10,roc_auc,binary,0.9810270848692833,5,0.0023240658752816785
15,11,roc_auc,binary,0.9805645063895038,5,0.0022201698651241656
15,12,roc_auc,binary,0.9808498925025471,5,0.0024639183649168136
15,13,roc_auc,binary,0.9805010042030536,5,0.002245583901654156
15,14,roc_auc,binary,0.9812790502426206,5,0.0025292299108300954
15,15,roc_auc,binary,0.9808008365430045,5,0.0027066619305201015
15,16,roc_auc,binary,0.9808174329212276,5,0.002029646686932468
15,17,roc_auc,binary,0.981081850969226,5,0.002282624149562
15,18,roc_auc,binary,0.9813454644579066,5,0.0023417869590402944
15,19,roc_auc,binary,0.9812472457599695,5,0.002523606567019099
15,20,roc_auc,binary,0.9808447519485028,5,0.002443126819411845
